time,open,high,low,close,Volume
1981-10-01,131,144.4,129.25,141.12,0
1981-11-02,141.5,155.25,128,129.68,0
1981-12-01,130.25,140.45,125.68,139.71,0
1982-01-01,140.5,149.95,135.1,149.14,0
1982-02-01,150.25,155,138,141.26,0
1982-03-01,140.1,149,124.5,128.56,0
1982-04-01,130,138.39,116.8,129.31,0
1982-05-03,129.5,138.25,119.5,138.23,0
1982-06-01,134,142.25,123.6,133.46,0
1982-07-01,132.5,132.8,119.65,126.81,0
1982-08-02,126,131.2,119.8,126.83,0
1982-09-01,126.8,144.9,125.3,144.87,0
1982-10-01,145,145.85,137.5,139.41,0
1982-11-01,139.4,142.49,131.3,136.08,0
1982-12-01,135.45,138.25,126.85,129.83,0
1983-01-03,130,133.5,122.5,122.81,0
1983-02-01,122.4,127.6,118.9,120.12,0
1983-03-01,120.5,126.9,120.35,123.23,0
1983-04-01,123,127.2,120.1,124.35,0
1983-05-02,124.6,135.5,123.2,131.75,0
1983-06-01,129.25,130.46,124.15,125.19,0
1983-07-01,125.5,130.25,125.5,126.07,0
1983-08-01,125.8,132.4,125.03,129.9,0
1983-09-01,130.25,136.9,128.51,136.48,0
1983-10-03,136.5,146.4,136.5,141.54,0
1983-11-01,141.01,149.13,139.75,144.01,0
1983-12-01,144.41,150,138.51,138.79,0
1984-01-02,139.3,145.9,137.1,142.44,0
1984-02-01,142.25,145,135.85,144.84,0
1984-03-01,145.01,152.3,141.9,151.37,0
1984-04-02,151.85,152.3,140.75,147.17,0
1984-05-01,146.75,158.42,141.75,144.35,0
1984-06-01,144.35,149.95,140.15,142.65,0
1984-07-02,141.6,145.7,138.1,139.01,0
1984-08-01,139.5,149.8,139.1,146.85,0
1984-09-03,144.1,146.25,134.45,135.95,0
1984-10-01,133.4,139.2,133.2,138.66,0
1984-11-01,138.6,141.25,135.51,136.76,0
1984-12-03,136.6,142.79,136.6,142.25,0
1985-01-01,142.5,152.1,140.4,150.05,0
