Date,Negative_News,Total_News
2002-07-27,322.8333333333333,3657.6666666666665
2002-08-27,320.6666666666667,3704.3333333333335
2002-09-27,318.5,3751.0
2002-10-27,316.3333333333333,3797.6666666666665
2002-11-27,314.1666666666667,3844.333333333333
2002-12-27,312.0,3891.0
2003-01-27,318.25,3971.5833333333335
2003-02-27,324.5,4052.1666666666665
2003-03-27,330.75,4132.75
2003-04-27,337.0,4213.333333333333
2003-05-27,343.25,4293.916666666667
2003-06-27,349.5,4374.5
2003-07-27,355.75,4455.083333333333
2003-08-27,362.0,4535.666666666667
2003-09-27,368.25,4616.25
2003-10-27,374.5,4696.833333333333
2003-11-27,380.75,4777.416666666667
2003-12-27,387.0,4858.0
2004-01-27,402.1666666666667,4953.083333333333
2004-02-27,417.3333333333333,5048.166666666667
2004-03-27,432.5,5143.25
2004-04-27,447.6666666666667,5238.333333333333
2004-05-27,462.8333333333333,5333.416666666667
2004-06-27,478.0,5428.5
2004-07-27,493.16666666666663,5523.583333333333
2004-08-27,508.3333333333333,5618.666666666667
2004-09-27,523.5,5713.75
2004-10-27,538.6666666666666,5808.833333333333
2004-11-27,553.8333333333333,5903.916666666666
2004-12-27,569.0,5999.0
2005-01-27,574.4166666666666,6064.75
2005-02-27,579.8333333333334,6130.5
2005-03-27,585.25,6196.25
2005-04-27,590.6666666666666,6262.0
2005-05-27,596.0833333333334,6327.75
2005-06-27,601.5,6393.5
2005-07-27,606.9166666666666,6459.25
2005-08-27,612.3333333333334,6525.0
2005-09-27,617.75,6590.75
2005-10-27,623.1666666666666,6656.5
2005-11-27,628.5833333333334,6722.25
2005-12-27,634.0,6788.0
2006-01-27,629.8333333333334,6761.916666666667
2006-02-27,625.6666666666666,6735.833333333333
2006-03-27,621.5,6709.75
2006-04-27,617.3333333333334,6683.666666666667
2006-05-27,613.1666666666666,6657.583333333333
2006-06-27,609.0,6631.5
2006-07-27,604.8333333333334,6605.416666666667
2006-08-27,600.6666666666666,6579.333333333333
2006-09-27,596.5,6553.25
2006-10-27,592.3333333333334,6527.166666666667
2006-11-27,588.1666666666666,6501.083333333333
2006-12-27,584.0,6475.0
2007-01-27,590.5833333333334,6539.75
2007-02-27,597.1666666666666,6604.5
2007-03-27,603.75,6669.25
2007-04-27,610.3333333333334,6734.0
2007-05-27,616.9166666666666,6798.75
2007-06-27,623.5,6863.5
2007-07-27,630.0833333333334,6928.25
2007-08-27,636.6666666666666,6993.0
2007-09-27,643.25,7057.75
2007-10-27,649.8333333333334,7122.5
2007-11-27,656.4166666666666,7187.25
2007-12-27,663.0,7252.0
2008-01-27,670.3333333333334,7242.5
2008-02-27,677.6666666666666,7233.0
2008-03-27,685.0,7223.5
2008-04-27,692.3333333333334,7214.0
2008-05-27,699.6666666666666,7204.5
2008-06-27,707.0,7195.0
2008-07-27,714.3333333333334,7185.5
2008-08-27,721.6666666666666,7176.0
2008-09-27,729.0,7166.5
2008-10-27,736.3333333333334,7157.0
2008-11-27,743.6666666666666,7147.5
2008-12-27,751.0,7138.0
2009-01-27,762.8333333333334,7247.666666666667
2009-02-27,774.6666666666666,7357.333333333333
2009-03-27,786.5,7467.0
2009-04-27,798.3333333333334,7576.666666666667
2009-05-27,810.1666666666666,7686.333333333333
2009-06-27,822.0,7796.0
2009-07-27,833.8333333333334,7905.666666666667
2009-08-27,845.6666666666666,8015.333333333333
2009-09-27,857.5,8125.0
2009-10-27,869.3333333333334,8234.666666666666
2009-11-27,881.1666666666667,8344.333333333334
2009-12-27,893.0,8454.0
2010-01-27,907.25,8638.5
2010-02-27,921.5,8823.0
2010-03-27,935.75,9007.5
2010-04-27,950.0,9192.0
2010-05-27,964.25,9376.5
2010-06-27,978.5,9561.0
2010-07-27,992.75,9745.5
2010-08-27,1007.0,9930.0
2010-09-27,1021.25,10114.5
2010-10-27,1035.5,10299.0
2010-11-27,1049.75,10483.5
2010-12-27,1064.0,10668.0
2011-01-27,1060.9166666666667,10782.083333333334
2011-02-27,1057.8333333333333,10896.166666666666
2011-03-27,1054.75,11010.25
2011-04-27,1051.6666666666667,11124.333333333334
2011-05-27,1048.5833333333333,11238.416666666666
2011-06-27,1045.5,11352.5
2011-07-27,1042.4166666666667,11466.583333333334
2011-08-27,1039.3333333333333,11580.666666666666
2011-09-27,1036.25,11694.75
2011-10-27,1033.1666666666667,11808.833333333334
2011-11-27,1030.0833333333333,11922.916666666666
2011-12-27,1027.0,12037.0
2012-01-27,1027.3333333333333,12054.166666666666
2012-02-27,1027.6666666666667,12071.333333333334
2012-03-27,1028.0,12088.5
2012-04-27,1028.3333333333333,12105.666666666666
2012-05-27,1028.6666666666667,12122.833333333334
2012-06-27,1029.0,12140.0
2012-07-27,1029.3333333333333,12157.166666666666
2012-08-27,1029.6666666666667,12174.333333333334
2012-09-27,1030.0,12191.5
2012-10-27,1030.3333333333333,12208.666666666666
2012-11-27,1030.6666666666667,12225.833333333334
2012-12-27,1031.0,12243.0
2013-01-27,1025.1666666666667,12175.833333333334
2013-02-27,1019.3333333333334,12108.666666666666
2013-03-27,1013.5,12041.5
2013-04-27,1007.6666666666666,11974.333333333334
2013-05-27,1001.8333333333334,11907.166666666666
2013-06-27,996.0,11840.0
2013-07-27,990.1666666666666,11772.833333333334
2013-08-27,984.3333333333334,11705.666666666666
2013-09-27,978.5,11638.5
2013-10-27,972.6666666666666,11571.333333333334
2013-11-27,966.8333333333334,11504.166666666666
2013-12-27,961.0,11437.0
2014-01-27,942.9166666666666,11461.083333333334
2014-02-27,924.8333333333334,11485.166666666666
2014-03-27,906.75,11509.25
2014-04-27,888.6666666666666,11533.333333333334
2014-05-27,870.5833333333334,11557.416666666666
2014-06-27,852.5,11581.5
2014-07-27,834.4166666666666,11605.583333333334
2014-08-27,816.3333333333334,11629.666666666666
2014-09-27,798.25,11653.75
2014-10-27,780.1666666666667,11677.833333333334
2014-11-27,762.0833333333334,11701.916666666666
2014-12-27,744.0,11726.0
2015-01-27,734.1666666666666,11657.083333333334
2015-02-27,724.3333333333334,11588.166666666666
2015-03-27,714.5,11519.25
2015-04-27,704.6666666666666,11450.333333333334
2015-05-27,694.8333333333334,11381.416666666666
2015-06-27,685.0,11312.5
2015-07-27,675.1666666666666,11243.583333333334
2015-08-27,665.3333333333334,11174.666666666666
2015-09-27,655.5,11105.75
2015-10-27,645.6666666666666,11036.833333333334
2015-11-27,635.8333333333334,10967.916666666666
2015-12-27,626.0,10899.0
2016-01-27,634.9166666666666,10914.25
2016-02-27,643.8333333333334,10929.5
2016-03-27,652.75,10944.75
2016-04-27,661.6666666666666,10960.0
2016-05-27,670.5833333333334,10975.25
2016-06-27,679.5,10990.5
2016-07-27,688.4166666666666,11005.75
2016-08-27,697.3333333333334,11021.0
2016-09-27,706.25,11036.25
2016-10-27,715.1666666666666,11051.5
2016-11-27,724.0833333333334,11066.75
2016-12-27,733.0,11082.0
2017-01-27,751.1666666666666,11436.666666666666
2017-02-27,769.3333333333334,11791.333333333334
2017-03-27,787.5,12146.0
2017-04-27,805.6666666666666,12500.666666666666
2017-05-27,823.8333333333334,12855.333333333334
2017-06-27,842.0,13210.0
2017-07-27,860.1666666666666,13564.666666666668
2017-08-27,878.3333333333334,13919.333333333334
2017-09-27,896.5,14274.0
2017-10-27,914.6666666666667,14628.666666666668
2017-11-27,932.8333333333334,14983.333333333334
2017-12-27,951.0,15338.0
2018-01-27,941.5833333333334,15316.583333333334
2018-02-27,932.1666666666666,15295.166666666666
2018-03-27,922.75,15273.75
2018-04-27,913.3333333333334,15252.333333333334
2018-05-27,903.9166666666666,15230.916666666666
2018-06-27,894.5,15209.5
2018-07-27,885.0833333333334,15188.083333333334
2018-08-27,875.6666666666666,15166.666666666666
