Date,Indonesia_temperature_2m_mean,Indonesia_daylight_duration,Indonesia_sunshine_duration,Indonesia_precipitation_sum,Indonesia_wind_speed_10m_max,Indonesia_wind_gusts_10m_max,Indonesia_et0_fao_evapotranspiration
07/1998,25.89458087096774,11.947193082437275,9.123838913978494,4.629032212903225,8.108303706451613,21.135483193548385,3.3428689161290324
07/1999,25.53416364516129,11.94685847670251,9.285232148207886,2.6548386548387097,9.887560151612902,25.072257709677416,3.6202340451612907
07/2000,25.403921999999998,11.947867016129031,10.09436827060932,3.3935483883870967,9.926358316129033,25.68774135483871,3.5736457161290325
07/2001,26.19478135483871,11.947550430107526,10.492655922939068,1.712903170967742,10.457468435483872,26.489031548387096,3.903274212903226
07/2002,26.369042516129035,11.947205833333333,10.53288041218638,2.983870964193548,10.730819938709677,26.454193129032255,3.7311333967741938
07/2003,26.806004387096774,11.946878781362006,10.297309544802868,2.693548348387097,11.89776935483871,29.63612829032258,4.116386219354839
07/2004,25.636179580645162,11.94789391577061,9.986196146953406,3.0870967322580642,9.345222951612904,24.73548322580645,3.6884162129032254
07/2005,26.003922354838707,11.947574802867384,10.443968611111112,2.632258091935484,9.20837175483871,23.295483612903226,3.7476353967741938
07/2006,26.64915051612903,11.947248010752688,10.619310600358423,1.954838812903226,10.987147051612903,27.603870483870967,3.979385793548387
07/2007,25.873477967741934,11.9469341218638,9.422859274193549,3.038709752903226,9.898168496774193,24.73548335483871,3.374140864516129
07/2008,27.306677451612902,11.947960806451611,10.396511845878136,0.9225806483870967,12.453970932258065,30.994837838709678,4.342649229032258
07/2009,26.51978183870968,11.947643754480286,10.16839391577061,3.741935487096774,9.870508732258065,25.873547838709676,3.9840507225806454
07/2010,25.53255058064516,11.947310206093189,9.094363987455198,6.141935556451613,8.568954703225806,21.658063806451615,3.1873697774193546
07/2011,25.657954,11.947006433691756,10.257849811827956,3.1838709464516133,10.153150877419355,25.38580593548387,3.5343052903225805
07/2012,26.514137,11.948032589605736,10.242484668458781,1.8999999367741935,10.36406335483871,26.465805967741936,3.9344768870967743
07/2013,25.046596870967743,11.947701209677419,7.789032585277777,9.948387180645161,9.45099921935484,22.49419280645161,2.959031558064516
07/2014,25.91017164516129,11.947373664874553,9.087210245519714,4.806451709677419,9.679068341935483,23.469677129032256,3.4508410322580647
07/2015,28.106811548387096,11.947064103942651,10.348364220430106,1.7645161161290321,13.074960483870969,30.449031677419356,4.571780729032258
07/2016,26.363665677419355,11.948079641577062,10.159225125448028,2.980645175483871,8.785008283870969,22.31999948387097,3.68611005483871
07/2017,25.694281612903225,11.947742258064517,8.438069683691756,3.9032257677419353,10.535587022580646,24.1083864516129,3.129330912903226
07/2018,26.33238612903226,11.947406093189963,10.355239910394266,1.2741935548387098,10.60423105483871,23.086451096774194,3.836270083870968
07/2019,26.22989958064516,11.94710182795699,10.423119023297492,3.3193547903225804,12.69533835483871,27.940644516129034,3.8130343258064516
07/2020,25.61188877419355,11.948111415770608,8.855917051971327,4.422580751612903,10.858138580645162,26.872257161290324,3.210650158064516
07/2021,26.35624335483871,11.94776094982079,9.443305516129033,2.403225841935484,10.358842974193548,23.260644322580646,3.715484035483871
