Date,Negative_News,Total_News,Negative_News_Ratio
2003-08-27,362.0,4535.666666666667,0.07981186154185345
2003-09-27,368.25,4616.25,0.07977254264825345
2003-10-27,374.5,4696.833333333333,0.07973457293921436
2003-11-27,380.75,4777.416666666667,0.07969788414240611
2003-12-27,387.0,4858.0,0.07966241251543846
2004-01-27,402.1666666666667,4953.083333333333,0.08119521510170434
2004-02-27,417.3333333333333,5048.166666666667,0.08267027633794446
2004-03-27,432.5,5143.25,0.08409079861954989
2004-04-27,447.6666666666667,5238.333333333333,0.0854597518294623
2004-05-27,462.8333333333333,5333.416666666667,0.08677989406415523
2004-06-27,478.0,5428.5,0.08805379018144975
2004-07-27,493.16666666666663,5523.583333333333,0.08928382843262979
2004-08-27,508.3333333333333,5618.666666666667,0.09047223540579022
2004-09-27,523.5,5713.75,0.09162108947713848
2004-10-27,538.6666666666666,5808.833333333333,0.09273233294121022
2004-11-27,553.8333333333333,5903.916666666666,0.09380778296893305
2004-12-27,569.0,5999.0,0.09484914152358727
2005-01-27,574.4166666666666,6064.75,0.09471398930980941
2005-02-27,579.8333333333334,6130.5,0.09458173612810267
2005-03-27,585.25,6196.25,0.09445228969134557
2005-04-27,590.6666666666666,6262.0,0.0943255615884169
2005-05-27,596.0833333333334,6327.75,0.09420146708282302
2005-06-27,601.5,6393.5,0.09407992492375068
2005-07-27,606.9166666666666,6459.25,0.09396085716865993
2005-08-27,612.3333333333334,6525.0,0.09384418901660281
2005-09-27,617.75,6590.75,0.09372984865151918
2005-10-27,623.1666666666666,6656.5,0.0936177670948196
2005-11-27,628.5833333333334,6722.25,0.09350787806661956
2005-12-27,634.0,6788.0,0.09340011785503831
2006-01-27,629.8333333333334,6761.916666666667,0.0931442022109116
2006-02-27,625.6666666666666,6735.833333333333,0.09288630458988
2006-03-27,621.5,6709.75,0.0926264018778643
2006-04-27,617.3333333333334,6683.666666666667,0.09236447059997008
2006-05-27,613.1666666666666,6657.583333333333,0.09210048691341953
2006-06-27,609.0,6631.5,0.09183442660031667
2006-07-27,604.8333333333334,6605.416666666667,0.09156626506024096
2006-08-27,600.6666666666666,6579.333333333333,0.09129597730266491
2006-09-27,596.5,6553.25,0.09102353793919048
2006-10-27,592.3333333333334,6527.166666666667,0.09074892117559942
2006-11-27,588.1666666666666,6501.083333333333,0.0904721008037122
2006-12-27,584.0,6475.0,0.0901930501930502
2007-01-27,590.5833333333334,6539.75,0.09030671406909031
2007-02-27,597.1666666666666,6604.5,0.09041814924167865
2007-03-27,603.75,6669.25,0.090527420624508
2007-04-27,610.3333333333334,6734.0,0.09063459063459064
2007-05-27,616.9166666666666,6798.75,0.09073971931114788
2007-06-27,623.5,6863.5,0.09084286442777009
2007-07-27,630.0833333333334,6928.25,0.09094408159828721
2007-08-27,636.6666666666666,6993.0,0.0910434243767577
2007-09-27,643.25,7057.75,0.09114094435195352
2007-10-27,649.8333333333334,7122.5,0.09123669123669124
2007-11-27,656.4166666666666,7187.25,0.09133071295233457
2007-12-27,663.0,7252.0,0.09142305570876999
2008-01-27,670.3333333333334,7242.5,0.09255551720170292
2008-02-27,677.6666666666666,7233.0,0.0936909535001613
2008-03-27,685.0,7223.5,0.09482937634110888
2008-04-27,692.3333333333334,7214.0,0.09597079752333426
2008-05-27,699.6666666666666,7204.5,0.09711522890785851
2008-06-27,707.0,7195.0,0.09826268241834607
2008-07-27,714.3333333333334,7185.5,0.09941317004151881
2008-08-27,721.6666666666666,7176.0,0.10056670382757339
