Date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
07/2020,60.67741935483871,27.647015677419358,20.851854516129034,23.70649193548387,32.18712532258065,23.67853980645161,27.175484032258066,12.803103369175627,10.373989838709678,12.387096945161291,12.387096945161291,10.774193548387096,12.693424741935484,27.80128970967742,223.46737419354838,19.585806451612903,3.8353623935483876
07/2021,57.645161290322584,26.917983451612905,20.897015741935483,23.250241612903224,29.788460225806453,22.72821606451613,25.46813458064516,12.804670161290323,9.795376397849463,7.877419514193549,7.877419514193549,12.806451612903226,21.627686741935484,44.33806358064516,228.10641948387098,18.36935483870968,3.490375622580645
07/2022,59.645161290322584,27.122822225806452,20.555080451612902,23.133441129032256,31.061332838709674,22.947171516129032,26.03098641935484,12.80611902329749,8.622714407706093,7.5774195838709675,7.5774195838709675,12.258064516129032,16.91441864516129,32.701934483870964,225.16881783870966,18.35290322580645,3.5568215354838713
07/2023,59.064516129032256,27.001854516129033,20.72927393548387,23.133104709677422,30.909543741935487,23.08973512903226,26.020213774193547,12.807473530465948,9.559144784946236,9.32580660967742,9.32580660967742,13.806451612903226,17.90207166129032,34.55999935483871,239.3756341935484,18.830645161290324,3.535967893548387
07/2024,59.96774193548387,26.609918999999998,20.73895116129032,22.884045387096773,29.699008129032258,22.85895393548387,25.351695967741936,12.802952795698925,8.12612315860215,9.03548407419355,9.03548407419355,14.774193548387096,19.84282535483871,38.89161170967742,245.49560903225807,16.78483870967742,3.1547081580645164
08/1990,59.774193548387096,26.351887193548386,20.732532483870965,22.907802322580647,29.041973741935486,22.591016612903225,25.11854987096774,12.546711397849462,7.569220298082437,11.354838558064516,11.354838558064516,13.64516129032258,20.56506964516129,47.36903119354839,251.57327999999998,15.553548387096775,3.024024283870968
08/1991,60.354838709677416,26.218016322580645,20.897048451612903,22.859952387096772,28.604641419354838,22.793573838709676,24.906875677419357,12.54911273297491,7.832490828225807,10.41612887548387,10.41612887548387,13.870967741935484,21.118447112903226,47.601289096774195,250.07491225806453,15.641612903225806,3.0219904580645163
08/1992,60.29032258064516,26.285758225806454,20.595435645161288,22.692883032258063,28.86033083870968,22.660122903225805,25.070279612903228,12.541272598566309,7.474089410394265,9.190322816129031,9.190322816129031,14.0,18.364404703225805,43.26967696774194,253.5994277419355,15.123225806451613,2.9120662322580646
08/1993,58.74193548387097,26.54704851612903,20.6647905483871,22.89583929032258,28.768370032258066,22.49275929032258,24.827588677419357,12.543853539426523,8.791321774193548,6.570967703225807,6.570967703225807,10.03225806451613,21.145140290322583,46.84645051612903,251.25160903225807,16.940967741935484,3.306139306451613
08/1994,57.645161290322584,27.185758193548388,21.07769370967742,23.462775322580647,29.763894870967743,23.06218741935484,25.60978480645161,12.546326639784946,9.550563067204301,5.609677312903226,5.609677312903226,9.193548387096774,19.878557209677417,43.62967619354839,250.70204612903225,18.59258064516129,3.7129991451612905
08/1995,59.25806451612903,27.766403483870967,20.868016258064515,23.624468677419355,31.28648012903226,23.44688270967742,26.543399870967743,12.548739883512546,9.541189755376346,7.8161289806451615,7.8161289806451615,11.35483870967742,15.75341863548387,36.06967619354838,236.46974193548388,18.361290322580647,3.6493170677419355
08/1996,59.25806451612903,27.63575829032258,20.430919612903228,23.41169993548387,31.16692951612903,22.876624612903225,26.192275741935486,12.540944426523298,9.740096992240142,7.606451572580645,7.606451572580645,11.580645161290322,15.772554838709677,35.99999925806451,235.07844496774194,18.951290322580647,3.764913235483871
08/1997,56.67741935483871,26.403500258064515,21.04704861290323,23.10424006451613,28.44655619354839,22.694761903225803,24.93846029032258,12.543575224014337,8.64961897311828,6.816129056129032,6.816129056129032,11.290322580645162,22.357641967741937,49.93548229032258,247.6947993548387,16.811935483870965,3.283789251612903
08/1998,57.225806451612904,27.868016322580644,20.90027435483871,23.849334516129034,31.95403393548387,24.00620648387097,27.29442735483871,12.545980492831541,9.172294519713262,8.990322590322581,8.990322590322581,9.709677419354838,11.895638370967742,28.579354387096775,214.3301346451613,17.81,3.592134322580645
08/1999,56.61290322580645,27.259951838709675,20.363177677419355,23.245033516129034,30.223347935483872,22.58368958064516,25.68347248387097,12.548447598566309,10.282060701612904,6.719354932258065,6.719354932258065,9.96774193548387,16.460038906451615,38.93806351612903,254.05323580645162,19.300967741935484,3.8226175387096775
08/2000,60.16129032258065,27.042209838709677,20.650274483870966,23.10565183870968,30.278425096774193,22.76268364516129,25.622352322580646,12.540696362007168,8.983593646953405,8.103225832258065,8.103225832258065,11.709677419354838,17.20707011612903,38.717418483870965,251.63929451612904,17.781612903225806,3.4574118580645163
08/2001,58.935483870967744,26.330919580645162,20.816403451612903,22.885759322580643,29.144107387096774,22.93213435483871,25.289494,12.54325299283154,7.463713529301075,10.751612823870968,10.751612823870968,13.903225806451612,19.095373322580645,41.73677341935484,239.76305574193546,15.139677419354838,2.93641759516129
08/2002,58.354838709677416,26.13253241935484,20.51317758064516,22.74422658064516,28.81220364516129,22.303299580645163,24.9550674516129,12.54568160394265,7.573888817204301,12.670967616129031,12.670967616129031,13.838709677419354,18.617867187096774,41.91096680645161,247.89154987096774,14.936129032258064,2.9737980403225808
08/2003,58.87096774193548,27.130919548387094,20.99382264516129,23.443016548387096,29.909662419354838,23.20339693548387,25.86915506451613,12.548148727598566,8.95368701971326,6.400000016129033,6.400000016129033,10.129032258064516,18.894880996774194,42.39870829032258,246.53216419354837,17.526129032258062,3.473282070967742
08/2004,59.38709677419355,26.45027441935484,20.948661709677417,22.999939258064515,28.509852322580645,22.68273851612903,24.837585548387096,12.540395197132616,9.144064865591398,7.106451765806451,7.106451765806451,11.03225806451613,21.623742161290323,46.52128980645161,250.50775419354838,16.59903225806452,3.265859280645161
08/2005,60.096774193548384,26.780919580645158,20.777693677419357,23.08797616129032,29.457421612903225,22.85585880645161,25.40507729032258,12.542955537634407,8.188927446236558,8.464516145161289,8.464516145161289,12.67741935483871,19.388272,44.79096719354838,253.37946129032258,16.50161290322581,3.225730758064516
08/2006,59.58064516129032,25.92608087096774,20.803500193548388,22.668958419354837,28.341009193548388,22.50276983870968,24.700305677419355,12.545301890681003,7.528106974014337,12.454838801612903,12.454838801612903,12.870967741935484,20.51251993548387,46.27741822580645,249.74149870967742,14.85193548387097,2.8855029077419356
08/2007,59.0,26.22930664516129,20.735758193548385,22.950208,28.697244677419356,22.58693087096774,24.993187967741935,12.547784722222222,8.016781272401435,19.12258027096774,19.12258027096774,12.03225806451613,20.80557733870968,45.92903112903225,246.11143741935484,15.69774193548387,3.1125248903225806
08/2008,60.096774193548384,26.87608093548387,20.53414522580645,23.133205,29.978904387096776,22.822900419354838,25.727226741935485,12.540007016129032,8.930085206093189,8.180645257419355,8.180645257419355,10.290322580645162,16.332459606451614,36.59225732258065,238.10903967741936,16.889354838709675,3.3277744548387096
08/2009,58.54838709677419,27.71640348387097,20.714790451612902,23.67655212903226,31.425512838709675,23.228572387096772,26.661581387096774,12.542447051971328,9.741613814516128,7.325806490322581,7.325806490322581,10.612903225806452,15.943977554838709,36.894193225806454,227.68102503225805,18.98709677419355,3.756378070967742
08/2010,59.70967741935484,27.140596967741935,20.990596935483868,23.404173193548385,30.48781741935484,23.64326787096774,26.25184958064516,12.544826397849462,8.530616323476702,10.132258093548387,10.132258093548387,11.612903225806452,16.11744893548387,36.499353935483875,240.02713161290322,17.12451612903226,3.4123573129032256
08/2011,57.193548387096776,27.251887322580643,20.697048580645163,23.369898774193548,30.374789677419354,23.22084135483871,26.10368435483871,12.547334301075269,9.821321836917562,7.135484119354838,7.135484119354838,9.387096774193548,16.294189677419357,37.64903154838709,234.26520403225808,17.859032258064516,3.5400254838709677
08/2012,57.83870967741935,26.918016258064515,21.098661419354837,23.330180903225806,29.053431612903225,22.946380612903226,25.324505612903224,12.539564722222222,9.013182508960574,7.161290274193549,7.161290274193549,10.32258064516129,21.299319,47.84516012903226,253.01170774193548,17.56096774193548,3.5093907935483872
08/2013,56.41935483870968,26.090596903225805,20.811564741935484,22.89086690322581,28.240544,22.705080806451612,24.96509687096774,12.542064811827958,7.457080238351255,8.490322548387097,8.490322548387097,11.612903225806452,19.931281774193547,42.90967677419354,249.9430148387097,15.132903225806452,3.029989135483871
08/2014,55.774193548387096,27.313177612903225,20.64059706451613,23.429307483870968,30.53453393548387,23.12822283870968,26.20282964516129,12.544448853046596,9.254883847670252,8.280645067741936,8.280645067741936,10.225806451612904,15.567290387096774,36.789677,243.89374438709677,18.087419354838712,3.6046340032258066
08/2015,61.45161290322581,27.145435903225806,21.172855000000002,23.538110612903225,30.556877677419354,23.979677451612904,26.461679032258065,12.547054363799283,9.541382786738351,8.158064648387096,8.158064648387096,9.806451612903226,16.260566483870967,36.058063548387096,252.70222032258064,17.923548387096773,3.4925008903225807
08/2016,58.87096774193548,27.235758258064514,21.551887322580647,23.663111483870967,29.760983645161293,23.76598858064516,25.963527774193548,12.539320232974909,9.37133296594982,6.416129000000001,6.416129000000001,10.258064516129032,21.319077741935484,48.06580480645161,251.03058322580645,17.730645161290322,3.5019037387096774
08/2017,57.12903225806452,26.834112322580644,20.89379006451613,23.20494590322581,30.63901641935484,23.542393870967743,26.205284516129034,12.541751406810036,9.79647593422939,4.2096773951612905,4.2096773951612905,8.96774193548387,16.172964016129033,33.2825799032258,247.52468258064516,17.80548387096774,3.415471470967742
08/2018,57.193548387096776,25.52443509677419,20.55185448387097,22.34049729032258,27.47259816129032,21.670157322580643,23.843780258064516,12.544198189964158,8.37091607202509,7.780645180645162,7.780645180645162,16.967741935483872,25.550403483870966,50.89935377419355,258.63469258064515,16.52806451612903,2.9241806032258064
08/2019,57.064516129032256,26.201854387096773,20.953467258064517,22.901988967741932,28.556579612903224,22.555521322580642,24.885862,12.546792114695341,9.387665686379929,7.303225572580645,7.303225572580645,15.161290322580646,24.167068967741933,49.63354829032258,258.1198861290323,17.623870967741937,3.2023494516129034
08/2020,57.83870967741935,26.738951032258065,20.900241516129032,23.31502658064516,30.086168,23.45794058064516,26.247294,12.538982508960574,9.037999409498207,6.5322579258064515,6.5322579258064515,12.709677419354838,17.532570258064517,37.27741883870968,251.36868548387096,17.92064516129032,3.4118126387096774
08/2021,57.58064516129032,27.41798358064516,20.827661096774197,23.45252641935484,31.411560483870968,23.240455096774195,26.394421129032256,12.541423736559139,9.846463772401433,6.241935473870968,6.241935473870968,10.96774193548387,17.28184956451613,35.83741861290323,213.6251657419355,19.411612903225805,3.736315029032258
08/2022,57.903225806451616,26.747015709677417,20.266370612903224,22.741572258064515,30.242254193548387,22.37089116129032,25.37883693548387,12.543829363799283,8.89429366935484,7.1483870225806445,7.1483870225806445,11.0,18.193886838709677,36.429676580645165,236.1804564516129,18.807096774193546,3.525825122580645
08/2023,54.29032258064516,27.419596322580645,20.817983516129033,23.501384677419352,30.58969664516129,23.059516258064516,26.033455967741936,12.54645902329749,10.077516048387096,5.016128909677419,5.016128909677419,12.193548387096774,20.712387129032255,39.634837677419355,259.5099583870968,20.40096774193548,3.8670356322580646
08/2024,59.45161290322581,28.52443506451613,20.813144612903226,24.035120612903228,33.32109206451613,23.65956277419355,27.523763096774196,12.53862435483871,11.020567795698925,5.716129130645161,5.716129130645161,9.0,14.406041258064517,29.078709258064514,261.97735290322584,21.403225806451612,4.171291658064516
09/1990,58.2,26.805166866666664,20.495166833333332,23.0659321,30.330677066666667,22.915733466666666,25.7964579,12.200967203703703,8.457268323148147,7.953333333333333,7.953333333333333,11.333333333333334,16.427022066666666,36.911999300000005,194.64745853333335,16.491,3.2218491933333335
09/1991,61.0,26.020166833333334,20.37683356666667,22.5543346,29.296620533333336,23.06048283333333,25.498672066666664,12.203986212962963,6.934175226851852,9.706666790000002,9.706666790000002,12.633333333333333,13.599205133333333,33.4799991,241.94049490666666,14.014666666666667,2.72148821
09/1992,58.86666666666667,26.646833666666666,20.458500266666665,22.831973,29.808692899999997,22.881174400000003,25.5318334,12.19495438888889,8.533067883333334,6.413333166666666,6.413333166666666,9.666666666666666,15.983080150000001,36.07199849999999,219.72068636666665,16.775666666666666,3.2385904400000003
09/1993,60.13333333333333,26.15516693333333,20.131833566666668,22.556000466666667,29.693639033333334,22.794496966666667,25.540851433333334,12.197697416666667,7.926971912962963,8.630000169999999,8.630000169999999,11.066666666666666,13.846415816666667,33.2759996,249.65862553333332,15.462666666666667,2.971328413333333
09/1994,59.46666666666667,26.06016683333333,20.301833600000002,22.508291933333332,28.939647400000002,22.525630866666667,25.00170896666667,12.200653611111111,7.984202641666667,10.210000311333333,10.210000311333333,11.633333333333333,16.75055382,37.223999133333336,235.16098666666667,15.047666666666666,2.906901406666667
09/1995,59.8,26.560166766666665,20.3785002,22.774750433333335,29.9685218,23.08242703333333,25.7088876,12.20366448148148,7.177473823148148,9.200000143333334,9.200000143333334,12.566666666666666,13.387912266666666,30.767999200000002,199.1674089566667,15.011,3.000862773333333
09/1996,60.86666666666667,26.625166933333333,20.5318335,22.7403762,29.6510836,22.788360633333333,25.263365866666668,12.194573037037037,8.022182144444445,10.776666676666668,10.776666676666668,13.733333333333333,17.648342703333334,38.12399923333333,179.17583953333332,15.728,3.064007313333333
09/1997,56.63333333333333,26.731833533333333,20.201833533333332,22.9487785,30.463616533333333,22.913977699999997,26.02592813333333,12.19739474074074,7.858407757870371,10.4033336,10.4033336,11.7,13.059473163333333,30.863999333333332,225.194915,16.233999999999998,3.2122914
