year_month,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,year
02/2016,58.724137931034484,29.451310689655173,23.503035275862068,25.93909772413793,35.00787331034483,28.190008586206897,30.945458896551724,12.21457248084291,7.692057278735632,11.01034479310345,11.01034479310345,10.758620689655173,11.537096189655172,28.551723586206897,314.00438803448276,15.972068965517241,3.2785904286206895,2.0,2016.0
02/2017,60.92857142857143,29.16435725,22.7697145,25.418300892857143,34.86365507142857,26.75348982142857,30.051793857142858,12.213878293650794,8.025148821428571,11.41428589107143,11.41428589107143,12.642857142857142,12.932677046428571,30.972856357142856,286.37048125,16.53464285714286,3.3348124821428575,2.0,2017.0
02/2018,61.357142857142854,28.939357285714287,22.800071535714288,25.23548757142857,34.05486196428571,26.98533467857143,29.92993717857143,12.214554186507936,7.913127361111111,11.721428696428571,11.721428696428571,13.107142857142858,12.255827178571428,27.629999357142857,313.0754417857143,15.593571428571428,3.1349547571428573,2.0,2018.0
02/2019,61.857142857142854,29.41614303571429,22.916143,25.540918107142858,35.92721917857143,27.451590964285714,30.868340285714286,12.215249176587301,7.897304668353174,13.200000132142858,13.200000132142858,15.535714285714286,10.059113439285714,23.618570892857143,288.2737560714286,16.74642857142857,3.3613275285714286,2.0,2019.0
02/2020,60.724137931034484,29.69693127586207,23.376241655172414,26.022505103448275,35.79809931034483,27.904916310344827,31.265399413793105,12.21450240421456,8.712034809386973,13.38275932413793,13.38275932413793,14.551724137931034,11.291967465517242,27.571034103448277,304.37560810344826,17.683793103448277,3.553775751724138,2.0,2020.0
02/2021,60.142857142857146,29.178642928571428,22.992928785714287,25.496796,34.53950435714286,27.268202714285714,30.341824035714286,12.213791755952382,8.018809141865079,10.853571714285716,10.853571714285716,15.178571428571429,13.503496392857143,30.25285657142857,287.99897957142855,16.174642857142857,3.241345967857143,2.0,2021.0
02/2022,53.357142857142854,30.22150025,22.521500214285712,25.824475678571428,36.36800960714286,26.67302492857143,30.75800075,12.214480773809525,8.759769555555556,9.185714485714286,9.185714485714286,8.928571428571429,11.726882217857142,26.369999464285716,255.00751032142855,19.713214285714287,4.0113627392857145,2.0,2022.0
02/2023,57.5,30.360785928571428,22.646500142857143,25.84634957142857,35.54438717857143,26.657178749999996,30.396914035714286,12.21520213293651,8.772902549603176,9.064285713928571,9.064285713928571,10.5,13.878437464285714,29.918570607142858,308.4855342857143,19.55392857142857,3.9986574035714284,2.0,2023.0
02/2024,62.724137931034484,29.860724379310344,23.102103586206898,25.735005241379312,36.51082579310345,27.691100206896554,31.151063482758623,12.214436733716475,7.612205086206897,19.303449500000003,19.303449500000003,15.517241379310345,11.854620913793102,28.986206137931035,303.4875924137931,17.349655172413794,3.475970482758621,2.0,2024.0
02/2025,60.42857142857143,29.5143575,22.73400025,25.504311392857144,35.23113764285714,26.88829357142857,30.38322282142857,12.21370939484127,7.850258348214285,12.82857147642857,12.82857147642857,14.0,13.329518053571428,30.27857132142857,299.9521579642857,17.8675,3.5713750392857144,2.0,2025.0
03/1990,61.12903225806452,29.923613387096776,22.9381294516129,25.70600464516129,36.70681890322581,27.439076903225807,31.04611519354839,12.12502291218638,9.7536246953405,9.561290403225808,9.561290403225808,11.03225806451613,8.80961884516129,24.607741419354838,261.59448551612905,19.003548387096775,3.8142651290322585,3.0,1990.0
03/1991,61.70967741935484,29.58006519354839,23.028452258064515,25.55183812903226,36.72947548387097,27.889376967741935,31.091041903225808,12.12578458781362,8.373051724910395,12.819355161290323,12.819355161290323,13.129032258064516,7.238817874193549,20.020644451612903,217.1741745483871,16.940645161290323,3.440943819354839,3.0,1991.0
03/1992,61.903225806451616,29.81716203225806,23.020387806451613,25.57011787096774,36.755581387096775,27.746872096774194,31.031805806451615,12.123467446236559,8.466618306451613,9.877419251612903,9.877419251612903,13.806451612903226,7.9809358645161295,22.29677406451613,228.93081151612904,17.192903225806454,3.4840901677419356,3.0,1992.0
03/1993,61.0,29.444581032258064,22.599419903225805,25.350091645161292,36.125830580645165,27.08529019354839,30.521632451612906,12.124195958781362,9.101099157706093,8.751612841935483,8.751612841935483,11.741935483870968,8.35492544516129,24.08516064516129,248.83687367741933,18.434838709677418,3.7009423193548385,3.0,1993.0
03/1994,61.25806451612903,29.120387516129036,22.760710193548384,25.160104612903226,35.58387829032258,27.163858258064515,30.304880709677416,12.124924005376343,7.065903732974911,14.470967696774194,14.470967696774194,15.32258064516129,9.035407806451612,24.607741387096773,279.18767306451616,15.490322580645161,3.1250660903225804,3.0,1994.0
